,Price,Livable surface,Kitchen equipment,Number of bathrooms,Number of toilets,Balcony,State of the property,Furnished,Surface of living-room,Number of showers,Number of facades,Surface terrace,Security door,Access for disabled,Surface garden,Garage,Brussels,Walloon Brabant,Flemish Brabant,Antwerp,Limburg,Liege,Namur,Hainaut,Luxembourg,West Flanders,East Flanders,Type property
179,945000,263,2,2,3,0,1,0,18,2,2,6,0,0,60,0,1,0,0,0,0,0,0,0,0,0,0,1
180,499000,220,1,1,2,0,0,0,35,1,2,0,0,0,50,0,1,0,0,0,0,0,0,0,0,0,0,1
181,550000,180,2,1,3,0,1,0,50,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
182,430000,195,1,1,1,0,1,0,58,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
183,470000,100,1,2,2,0,1,0,40,1,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
184,370000,87,1,1,1,0,1,0,30,1,2,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
185,285000,70,1,1,1,0,1,0,21,1,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
186,345000,83,1,1,1,0,1,0,23,1,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
187,265000,70,1,1,1,0,2,0,35,1,2,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
188,1495000,255,2,3,4,0,0,0,44,1,3,20,0,0,1200,1,1,0,0,0,0,0,0,0,0,0,0,0
189,469000,100,1,1,2,0,2,0,25,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
190,249000,62,1,1,1,0,2,0,24,1,2,36,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
191,249000,54,1,1,1,0,2,1,30,1,2,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
192,395000,102,2,1,1,0,1,0,30,1,2,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
193,275000,105,1,1,1,0,1,0,60,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
194,485000,120,2,2,2,0,1,0,56,1,3,15,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
195,365000,77,1,1,1,0,1,0,30,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
196,499000,125,2,2,2,0,1,0,40,1,2,80,0,1,10,1,1,0,0,0,0,0,0,0,0,0,0,0
197,249000,80,1,1,1,0,2,0,24,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
198,239000,50,2,1,1,0,1,0,18,1,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
199,140000,50,2,1,1,0,1,0,20,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
200,435000,100,2,1,1,0,1,0,40,1,2,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
201,252000,70,1,1,1,0,1,0,21,1,2,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
202,275000,77,1,1,1,0,1,0,23,1,2,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
203,395000,101,1,1,1,0,3,0,19,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
204,140000,26,1,1,1,0,2,0,17,1,2,0,1,1,50,0,1,0,0,0,0,0,0,0,0,0,0,0
205,297500,73,2,1,1,0,1,0,22,1,2,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
206,550000,100,2,1,1,0,2,0,47,1,2,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
207,299000,113,2,1,1,0,3,0,40,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
208,354600,111,2,1,1,0,1,0,33,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
209,315000,96,1,1,1,0,1,0,23,1,2,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
210,219000,85,1,2,1,0,0,0,25,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
211,439000,105,2,2,1,0,2,0,31,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
212,285000,65,1,1,1,0,1,0,18,1,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
213,445000,113,1,1,1,0,1,0,34,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
214,130000,46,1,1,1,0,1,0,36,1,2,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
215,170000,86,1,1,1,0,2,0,26,1,2,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
216,395000,120,1,1,1,0,0,0,50,1,2,8,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
217,220000,60,1,1,1,0,1,1,18,1,2,10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
218,395000,94,2,1,2,0,1,0,28,1,2,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
219,595000,156,2,2,2,0,2,0,46,2,2,0,0,0,50,0,1,0,0,0,0,0,0,0,0,0,0,0
220,225000,72,2,1,1,0,1,1,32,1,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
221,449000,121,1,1,1,0,0,0,34,1,2,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
222,1425000,184,2,1,1,0,2,0,54,1,2,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
223,315000,80,2,1,1,0,1,0,24,1,2,56,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
224,425000,91,2,1,1,0,3,0,24,1,2,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
